 Question ,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level ,Score for Right Answers
What is Cloud Computing ?,A) It is a Network,B) It is a Way of Providing the on demand services over the internet,C) It is a Computer ,D) None,B,Easy ,1
What is the purpose of Cloud Computing ?,A) To Make Available On-Demand Services to the Users through the Internet,B) To Provide Hardware Components for Data Storage,C) To Secure Networks from Cyber Attacks.,D) To Develop Mobile Applications.,A,Easy ,1
Which resource is Must you have for accessing the Cloud Computing Services ?,A) System ,B) Internet,C) System + Internet,D) None,C,Easy ,1
For All Types of Cloud Services in Cloud Computing we use ?,A) Our Own Computer ,B) Our Own Server ,C) Not a Valid Question,D) We Use the Hosted Server Over the Internet,D,Easy ,1
Acessing the Hosted Server for Cloud Services We Must Need what resource with a System ?,A) Computer,B) Stable Internet Connection,C) Mobile Phone,D) Tablet,B,Easy ,1
In Case of Cloud Computing who is Responsible for Cloud Computing Services ?,A) ISP,B) We Own,C) IT Companies,D) Cloud Providers,D,Easy ,1
What are the Services Models Here ?,A) IaaS ; SaaS ; PaaS,B) Public ; Private ; Hybrid,C) PaaS ; NaaS ; DBaaS,D) None,A,Easy ,1
What is Purpose of Service Models ?,A) It Determines the Pricing Structure for Cloud Services,B) It Specifies the Network Architecture for Cloud Infrastructure,C) It Defines the Security Measures Implemented in the Cloud Environment,D) It Defines the Services Provided by the Cloud Provider to their Customers,D,Easy ,1
What does IaaS Stands for ?,A) Information as a Structure,B) Information as a Service,C) Infrastructure as a Service,D) Not Mentioned,C,Easy ,1
What does the SaaS Stands for ?,A) System as a Structure,B) Software as a Service,C) Software as a Structure,D) Not Mentioned,B,Easy ,1
What does the PaaS Stands for ?,A) Product as a Service,B) Product as a Structure,C) Proudct as a Source,D) Platform as a Service ,D,Easy ,1
Which is not a Service Model of Cloud Computing ?,A) NaaS,B) PaaS,C) HaaS,D) SaaS,A,Easy ,1
What are Deployment Models Here ?,A) Secured ; Open ; Close,B) Public ; Private ; Hybrid,C) IaaS ; SaaS ; PaaS,D) None from Here,B,Easy ,1
What is the Purpose of Deployement Models ?,A) It Determines the Security Measures for Protecting Data in the Cloud,B) It Specifies the Hardware Configuration Required for Cloud Computing,C) It Controls the Access and Authorization Policies for Cloud Users,D) It Defines Ways in which a Cloud can be Deployed and Services made available to the users by the Cloud Provider,D,Easy ,1
Which of the following is not a deployment model of cloud computing ?,A) Personal,B) Public,C) Private,D) Hybrid,A,Easy ,1
