 Question ,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level ,Score for Right Answers
On What Computer or Digital System Works ,A) Binary ,B) Decimal,C) Hexadecical,D) None from Here,A,Easy,1
What is C and Developed By ?,A) OS and Bill Gates,B) Programming language developed by Bjarne Stroustrup,C) Programming language developed by Larry Wall,D) C is a programming language developed by Dennis Ritchie,D,Easy,1
Which programming language is commonly used for software development ?,A) C,B) Python,C) Java,D) PHP,C,Easy,1
What does DSA stand for in software development ?,A) Data Source Architecture,B) Digital Security Algorithm,C) Data Structure and Algorithms,D) Distributed Systems Architecture,C,Easy,1
What does API Stands for ?,A) Application Programming Interface,B) Advanced Programming Interface,C) Automated Program Integration,D) Algorithmic Programming Interface,A,Easy,1
What is the output of the following code : printf('Hello World !'); ?,A) Error,B) Program Will Run Without Error But Nothing Will Print,C) Hello World!,D) None from  Here,A,Easy,1
What is Data Structure ?,A) A way to organize and Structure data in memory,B) A hardware component used for data storage,C) A type of algorithm used in sorting data,D) A programming language used for data manipulation,A,Easy,1
What does DBMS Stands for ?,A) Definebase Management Source,B) Database Management System,C) Database Manipulation System,D) Definebase Manipulation Source,B,Easy,1
Purpose of Sorting over any List or Array ?,A) To arrange the elements in  any specifc order,B) To randomize the order of elements,C) To remove duplicate elements from the list,D) To reverse the order of elements,A,Easy,1
What is the purpose of a primary key in a database table ?,A) It ensures data integrity,B) It provides indexing for faster retrieval,C) It establishes relationships between tables,D) It uniquely identifies each record in the table,D,Easy,1
Which Unqiue Feature actually represents Python Programming Language ?,A) Data Types,B) Dynamically Typed and Easy,C) Control Statements,D) None from Here,B,Easy,1
Which data structure uses a Last-In-First-Out (LIFO) approach ?,A) Queue,B) Array,C) Tree,D) Stack,D,Easy,1
What is the purpose of version control systems in software development ?,A) To track changes in source code,B) To manage project schedules,C) To perform automated testing,D) To generate documentation,A,Easy,1
What is the difference between procedural programming and object-oriented programming ?,A) Procedural programming is faster than object-oriented programming,B) Procedural programming uses classes while object-oriented programming uses functions,C) Procedural programming focuses on functions while object-oriented programming focuses on objects,D) Procedural programming is used for web development while object-oriented programming is used for desktop applications,C,Easy,1
Output:String name = ``John``; System.out.println(``Hello``  + name); ?,A) Hello John,B) Hello name,C) Error,D) Undefined,A,Easy,1
BST Stands for ?,A) Break Search Term,B) Binary Search Tree,C) Break Search Tree,D) Binary Search Term,B,Easy,1
Which Sorting is also Called Compare and Swap Sort ?,A) Bubble,B) Quick,C) Merge,D) Insertion,A,Easy,1
DBA Stands for ?,A) Data Binary Access,B) Database Access,C) Database Administrator,D) None from Here,C,Easy,1
Which is Low Low Level Langauge ?,A) Binary Langauge,B) C Language,C) Assembly Language,D) None from Here,A,Easy,1
